2026-03-09 06:50:36,316 | INFO | HFLocalClient | Loading model: google/flan-t5-large
2026-03-09 06:55:52,954 | INFO | HFLocalClient | Loading model: google/flan-t5-large
2026-03-09 06:56:00,291 | INFO | HFLocalClient | Model loaded in 7.34s
2026-03-10 05:32:53,762 | INFO | HFLocalClient | Loading model: google/flan-t5-large
2026-03-10 05:33:53,832 | INFO | HFLocalClient | Model loaded in 60.07s
2026-03-10 05:34:46,262 | INFO | HFLocalClient | Loading model: google/flan-t5-large
2026-03-10 05:34:52,984 | INFO | HFLocalClient | Model loaded in 6.72s
2026-03-10 05:36:45,287 | INFO | HFLocalClient | Loading model: google/flan-t5-large
2026-03-10 05:36:51,251 | INFO | HFLocalClient | Model loaded in 5.96s
2026-03-10 05:40:55,895 | INFO | HFLocalClient | Loading model: google/flan-t5-large
2026-03-10 05:41:05,067 | INFO | HFLocalClient | Model loaded in 9.17s
2026-03-10 05:41:26,764 | INFO | HFLocalClient | Loading model: google/flan-t5-large
